id,label,followers,genres,popularity,image_url
3tJnB0s6c3oXPq1SCCavnd,Marco Antonio Solís,7915012,"grupera, mariachi, ranchera, latin pop",76,https://i.scdn.co/image/ab6761610000e5eb9d818606c2582549402ca755
0XwVARXT135rw8lyw1EeWP,Christian Nodal,15648065,"banda, ranchera, mariachi, norteño, música mexicana, grupera",79,https://i.scdn.co/image/ab6761610000e5eb987de2d53ee07fed17d0e464
2MRBDr0crHWE5JwPceFncq,Juan Gabriel,9674229,"mariachi, ranchera, música mexicana, bolero",76,https://i.scdn.co/image/ab6761610000e5eb41b8c9e933cb0ea8ea8b68ed
7vXDAI8JwjW531ouMGbfcp,TINI,8759473,latin pop,76,https://i.scdn.co/image/ab6761610000e5eb4a8ba36738058bdccead8cb1
07YUOmWljBTXwIseAUd9TW,Sebastian Yatra,23702487,"colombian pop, reggaeton, latin",80,https://i.scdn.co/image/ab6761610000e5eb0b9d2cce6f096d2d19f2ee23
5dbaLmK5SHLLg8Z4CcTJpX,Greeicy,7660618,"colombian pop, pop urbano",70,https://i.scdn.co/image/ab6761610000e5eb883417fb517d308ebc76ba06
6sq1yF0OZEWA4xoXVKW1L9,Alejandro Fernández,8172127,"mariachi, ranchera, latin pop, bolero",77,https://i.scdn.co/image/ab6761610000e5eb452691cfa37fdd5b3417ed0d
1ackd5XprZEkH3McKbQD51,Juan Magán,1698742,"reggaeton, latin",68,https://i.scdn.co/image/ab6761610000e5eb9bff446a54ba1ca20ddbb001
4xFUf1FHVy696Q1JQZMTRj,Carrie Underwood,6069801,country,71,https://i.scdn.co/image/ab6761610000e5eb6d81a16f9d1b2abf04e765a6
5F8vogyroqA36mExBfM52B,Sandy & Papo,288776,merengue,50,https://i.scdn.co/image/ab67616d0000b273969ae12f34107d04f8f366fa
1ADdpen72RPuafRcv0YRBf,Antonio Orozco,1424119,"flamenco pop, flamenco",62,https://i.scdn.co/image/ab6761610000e5eb23f9ce2aead0e8b856732a06
7K9rdoOJSiKXoVXPlSkGKT,Paty Cantú,2489582,latin pop,64,https://i.scdn.co/image/ab6761610000e5eb4142597445e5b6946947fc79
5JfkzRrPKWcMQenALP3UKL,Cuca Roseta,33998,fado,30,https://i.scdn.co/image/ab6761610000e5eb2d035bdcebbc01730eb13ba1
2DmYtFBKcxb3ajwWWgA576,Emmanuel,3192558,latin pop,70,https://i.scdn.co/image/ab6761610000e5eb128b34791dda79758d039ee9
5w2IPyEGnvrxx9htv4MWa2,Dee Wayne,20958,afro adura,33,https://i.scdn.co/image/ab6761610000e5eb54213f608109ea949bc2d81b
6nh96lsvDLuCVpgpfjeYnM,Pastora Soler,415076,"flamenco pop, flamenco",50,https://i.scdn.co/image/ab6761610000e5eb99398bb470e3f565c0a0ddac
5ex40YPLrwqU1Yr6ApCKhr,Artista Rosario,6742,reggaeton,16,https://i.scdn.co/image/ab6761610000e5eb9bdd3fade44815d28e0506c8
3fjrh0cznfzwqjfS9LrPj5,Operacion Triunfo 2006,3207,,12,https://i.scdn.co/image/ab67616d0000b2730d624be247c28c92fd12fb20
3EBRANWwnViQuBrImN61Z1,Pixie Lott,954380,,46,https://i.scdn.co/image/ab6761610000e5eb4e491d0eb96856a5bd135f3c
4bYwbb6k4ujHD2NXRxSwRP,Robbie Rivera,47842,"tribal house, latin house, house, piano house",43,https://i.scdn.co/image/ab6761610000e5eb5570206c30efddc126c557f7
7usNAsVO4wRacexNqbzi2n,Jose Miguel Velasquez,3,,0,
4uo8Bp99zyj8HQW1ynweoY,Vicente Amigo,123604,"flamenco, flamenco pop",48,https://i.scdn.co/image/38abc1101c820e8f8ffb897db7eb822e3a1f2f04
1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,8267504,"reggaeton, urbano latino",80,https://i.scdn.co/image/ab6761610000e5ebb5496c4b788e181679069ee8
3wxFXeuHQEq4NubZunCIMe,Tomatito,101581,"flamenco, latin jazz",57,https://i.scdn.co/image/6274e4e555e37cde2a065bf57c62a7d851438ec0
1QbKnLuatJMdjY8dFx7Nru,Nesty La Mente Maestra,3981,,29,https://i.scdn.co/image/ab6761610000e5eb790255750d843cd2230f70ad
5yJLjTAWKNrIO0MJVBRTZA,"Víctor ""El Nasi""",151,,24,
2QPvWI9lmh5pmbqySMQux5,José Gómez,73,,23,https://i.scdn.co/image/ab67616d0000b273bb57fa16c98b2157d49921d6
340O8IdnPypHteCD0Z5DPL,Joana Zimmer,4361,,23,https://i.scdn.co/image/ab67616d0000b273a28cb708c0d6d946d35a5a98
0i3ypO6G38iZmANDHWZxlY,Chenoa,431974,,46,https://i.scdn.co/image/ab6761610000e5eb5a741503e3248116ca837ae1
5xSx2FM8mQnrfgM1QsHniB,Danna Paola,5051532,,70,https://i.scdn.co/image/ab6761610000e5eb59b79097fcde8799fe8ce71b
73Np75Wv2tju61Eo9Zw4IR,Idina Menzel,540143,musicals,72,https://i.scdn.co/image/ab6761610000e5eb6e39cafa090a7f726177bbf7
6nXmnBpdFvzImqLQb3HBa9,Adam Trigger,3249,,32,https://i.scdn.co/image/ab6761610000e5ebf88e0a280f76e97c250d0354
0ocHleb3SllGNQQcDH35Xz,Herencia De Grandes,440366,"corrido, corridos bélicos, corridos tumbados",71,https://i.scdn.co/image/ab6761610000e5eb95f04ebb08238e8e0cbb050e
15jrieCvf3EklAScnD9kKl,Sak Noel,133851,moombahton,50,https://i.scdn.co/image/ab6761610000e5eb6c7c2da505bfa70dec44b1c6
1nwjHzOUQZsNYX8xoWiGVC,Funzo & Baby Loud,252553,,56,https://i.scdn.co/image/ab6761610000e5eb50378524e65b6227a8c9710f
6GP540ZTiOPTz8uI76k43u,Paranoid 1966,19303,,29,https://i.scdn.co/image/ab6761610000e5eb76b5770bf687aea59afed34c
60uh2KYYSCqAgJNxcU4DA0,Hombres G,4747096,"rock en español, latin rock, mexican rock",71,https://i.scdn.co/image/ab6761610000e5ebf00d7551907825539d1dc034
